,id,response,true_score
500,28089,black ::  black is not a good color because it extracts heat from the sun and  the trials for black are 54 52 54 53 and that is why they should not choose the color black.,0
501,28090,white :: White will keep the inside of the dog house colder during the summer or when its hot outside. The average for white is 42 degrees  instead of black being 53 degrees .,2
502,28091,"white :: because, it will keep you more warmer.",0
503,28092,white :: white would make the dog house colder,1
504,28093,white :: the color white would be the best for the dog house because white absorbs the least energy and would keep the doghouse cool and comfortable,1
505,28094,light gray ::  the light gray color will keep a maintained normal temperature,1
506,28095,white :: I would paint it white so on a hot summer day Brandi and Jerry's dog could cool down.,1
507,28096,black :: This color will affects the doghouse internal temperature. The darkness of the color will absorb heat energy and keep the inside of this dog house warm.,1
508,28097,black ::  because is black,0
509,28098,white ::  the white paint would make the doghouse cooler. the black paint would make the doghouse warmer at 53 degrees celsius. the white paint would be 42 degrees celsius.,2
510,28099,white ::  it will make the dog house cool for the dog on hot days.,1
511,28100,black :: because it can be warm inside the dog house if the sun hits the black paint it can be hot in there and change the temperature,1
512,28101,black ::  el negro por que el negro consume el calor y el blanco no,0
513,28102,white :: White would be the best color because the temperature in the inside of the dog house would be colder than any other color,1
514,28103,"white :: The dog house should be painted white because it would make the dog house the coolest (coldest). Since dogs like the shade and cold to cool them down in the summer, white would reflect the most light energy and prevent it from becoming too hot. After ten minutes, the jar with the black lid heated up by 29 degrees C on average. However, the jar with the white lid did not heat up at all on average.",2
515,28104,black :: Having a black doghouse will be warmer.,1
516,28105,"white ::  white is the best color because it keeps it very cool, lighter colors like white reflex the sun light that makes it more cool and darker colors like black absorb that makes it more hot",1
517,28106,light gray :: i picked light gray because i thought i did not want the dog to be too hot in there by having it black or dark gray but then again i did not want the dog to have white just in case he will not get too cold so i picked light gray so he/she will feel just right,1
518,28107,"white :: I would choose White colored paint because the dog house would be cooler according to the results in the experiment where black was for the first trial , 54 degrees celsius , then for the last trial also 54 degrees celsius . Where as White at its first trial got 42 degrees celsius  and 41 degrees celsius  for its last trial",2
519,28108,"light gray ::  Since the doghouse will have a living being in it, the temperature should be comfortable for the dog. 53 degrees celsius  is very, very warm and would make a dog uncomfortable, especially on a warm summer day. But, 41 degrees celsius  is too cold for a dog in the winter time, as this would be a year-round house for the dog. So, 45 degrees celsius  would be less hot in the summer, and more warm in the winter, which is just perfect for the dog.",2
